employee,ticket_count,avg_time,median_time,std_time,avg_steps,median_steps,avg_comments,median_comments,total_reopens,reopen_rate,first_touch_rate,resolution_success_rate,avg_time_hours,median_time_hours
-.3.jn2,92,7440.948695652174,312.192,53628.575161596054,1.0434782608695652,1.0,0.717391304347826,0.0,0,0.0,0.021739130434782608,0.8913043478260869,2.0669301932367152,0.08672
0ny0x93ygh,10,9247662.8,7986606.5,8604283.72066254,3.5,3.0,11.3,11.0,1,0.1,0.6,0.5,2568.7952222222225,2218.5018055555556
0ny0x93ygi,18,1453363.637111111,341180.38049999997,3499728.7988576777,2.8333333333333335,3.0,5.444444444444445,3.5,1,0.05555555555555555,0.6111111111111112,0.9444444444444444,403.7121214197531,94.77232791666665
0ny0x93ygr,27,4041677.0880370373,1603897.275,6231878.816964897,2.962962962962963,2.0,10.481481481481481,5.0,4,0.14814814814814814,0.4074074074074074,0.9629629629629629,1122.688080010288,445.5270208333333
0zxu.ad,13,458012.76923076925,5258.0,1007594.6479525015,1.0,1.0,1.4615384615384615,1.0,0,0.0,0.0,0.9230769230769231,127.22576923076923,1.4605555555555556
1.ca.cz38j18x3czvj.ad,37,6233.057621621621,382.535,23757.187282864004,1.027027027027027,1.0,0.5675675675675675,1.0,0,0.0,0.0,0.8918918918918919,1.7314048948948948,0.10625972222222223
1n81u .ad h,34,1049.1716176470588,364.08,2162.2799065710506,1.1176470588235294,1.0,0.47058823529411764,0.0,0,0.0,0.0,0.9411764705882353,0.29143656045751637,0.10113333333333333
1n81u .ad i,48,413014.6169166667,524.836,2834795.0632837703,1.1875,1.0,0.5625,0.0,0,0.0,0.041666666666666664,0.8541666666666666,114.72628247685185,0.1457877777777778
1n81u .ad o,17,6024.907882352942,605.555,13814.22173226038,1.1176470588235294,1.0,1.0,0.0,0,0.0,0.11764705882352941,0.9411764705882353,1.6735855228758172,0.16820972222222222
1n81u .ad p,43,2034.9442093023254,315.257,7465.149535455284,1.1627906976744187,1.0,1.0232558139534884,1.0,0,0.0,0.06976744186046512,0.9767441860465116,0.5652622803617571,0.08757138888888889
1n81u.adh,45,56902.53333333333,1563.0,128116.89050479716,1.1555555555555554,1.0,1.1555555555555554,1.0,0,0.0,0.0,0.9555555555555556,15.806259259259258,0.43416666666666665
1n81u.adp,32,364965.40625,3611.5,858281.2405550788,1.375,1.0,3.28125,1.0,0,0.0,0.0,0.875,101.37927951388889,1.0031944444444445
3cxhok,149,6249948.76285906,860091.0,21980948.14660792,3.0067114093959733,3.0,7.429530201342282,5.0,12,0.08053691275167785,0.7181208053691275,0.9395973154362416,1736.0968785719613,238.91416666666666
3cxigp,197,202629.66146192892,301.124,1184132.89535223,2.2893401015228427,2.0,3.49746192893401,3.0,1,0.005076142131979695,0.9746192893401016,0.883248730964467,56.286017072758035,0.08364555555555556
3cxigq,317,808145.1978107255,588.019,3005502.834126892,2.3785488958990535,2.0,6.280757097791798,3.0,8,0.025236593059936908,0.6403785488958991,0.9463722397476341,224.48477716964598,0.16333861111111111
3cxigs,211,361.5605829383886,264.004,443.9833889591522,2.023696682464455,2.0,2.938388625592417,3.0,0,0.0,0.990521327014218,0.933649289099526,0.1004334952606635,0.07333444444444445
3cxiog,102,836667.6244313726,17869.771,1637900.8421675174,2.3823529411764706,2.0,3.343137254901961,2.0,1,0.00980392156862745,0.23529411764705882,0.9117647058823529,232.40767345315905,4.963825277777778
3cxogo,404,34174.10643564357,247.5,313068.2495251087,2.0024752475247523,2.0,3.032178217821782,3.0,6,0.01485148514851485,0.9108910891089109,0.943069306930693,9.492807343234324,0.06875
4ggk,211,12471614.597658768,1721794.0,29855526.049784623,2.241706161137441,2.0,4.3649289099526065,3.0,1,0.004739336492890996,0.8578199052132701,0.7298578199052133,3464.3373882385467,478.2761111111111
4ggo,133,2335893.634526316,274764.389,6063849.25725426,2.1503759398496243,1.0,3.398496240601504,1.0,2,0.015037593984962405,0.45112781954887216,0.6240601503759399,648.8593429239767,76.3234413888889
4ggr,110,1962253.8092909092,3633.0315,3572746.4819175135,1.6,1.0,2.3,1.0,1,0.00909090909090909,0.07272727272727272,0.9,545.0705025808081,1.0091754166666667
4gis,98,4376564.7887244895,599207.0945,12058765.012170902,2.663265306122449,2.0,3.836734693877551,2.0,14,0.14285714285714285,0.5816326530612245,0.9591836734693877,1215.7124413123581,166.44641513888888
4glr,13,1810572.6153846155,513354.0,3031212.615642364,2.1538461538461537,2.0,1.8461538461538463,2.0,0,0.0,0.5384615384615384,1.0,502.9368376068376,142.59833333333333
4grg,57,797725.8039473685,499513.0,959642.1162022537,2.7017543859649122,3.0,3.6666666666666665,3.0,0,0.0,0.8596491228070176,0.8947368421052632,221.59050109649127,138.7536111111111
4gsg,123,1928795.780487805,784290.0,4316687.756602161,3.089430894308943,2.0,1.910569105691057,1.0,4,0.032520325203252036,0.8861788617886179,1.0,535.776605691057,217.85833333333332
4hggg,32,2498016.0,947871.5,5926695.918540508,3.0625,3.0,10.71875,7.0,2,0.0625,0.21875,0.90625,693.8933333333333,263.2976388888889
4hghi,21,7212114.333333333,3730321.0,8289722.256812217,2.4285714285714284,2.0,9.904761904761905,7.0,1,0.047619047619047616,0.6666666666666666,0.6190476190476191,2003.3650925925924,1036.2002777777777
4hghk,609,77146.38095238095,206.0,864191.0503552357,1.9113300492610839,2.0,2.863711001642036,3.0,4,0.006568144499178982,0.8801313628899836,0.9293924466338259,21.42955026455026,0.05722222222222222
4hgho,105,2951241.2666666666,1025832.0,6378283.706778183,3.6476190476190475,2.0,9.80952380952381,5.0,28,0.26666666666666666,0.29523809523809524,0.9714285714285714,819.7892407407408,284.9533333333333
4hghq,519,181776.0231213873,395.0,951529.1255934831,2.321772639691715,2.0,4.360308285163777,3.0,3,0.005780346820809248,0.6339113680154143,0.9364161849710982,50.493339755940916,0.10972222222222222
4hghs,236,418.1949152542373,248.5,1167.124739516328,1.8644067796610169,2.0,2.8771186440677967,3.0,0,0.0,0.8559322033898306,0.9364406779661016,0.11616525423728813,0.06902777777777777
4hgi,150,13708997.877433334,2358608.5,28991587.816207934,2.7333333333333334,3.0,4.026666666666666,3.0,2,0.013333333333333334,0.88,0.7666666666666667,3808.0549659537037,655.1690277777777
4hgih,84,751065.4523809524,343703.0,1356770.035500769,3.119047619047619,3.0,4.285714285714286,3.0,12,0.14285714285714285,0.011904761904761904,0.9880952380952381,208.62929232804234,95.47305555555556
4hgir,74,989968.7837837838,262318.5,1749627.0971736314,2.72972972972973,3.0,5.594594594594595,4.0,5,0.06756756756756757,0.20270270270270271,0.8918918918918919,274.99132882882884,72.86625
4hgkl,23,865304.7391304348,90294.0,1398213.16640994,2.8260869565217392,2.0,4.6521739130434785,3.0,2,0.08695652173913043,0.08695652173913043,0.8695652173913043,240.3624275362319,25.081666666666667
4hgko,13,944173.9230769231,841374.0,879956.7419351232,2.6153846153846154,3.0,9.076923076923077,9.0,0,0.0,0.5384615384615384,0.38461538461538464,262.2705341880342,233.715
4hgkr,106,191593.49056603774,99981.5,321845.18050877895,2.2358490566037736,2.0,3.150943396226415,3.0,9,0.08490566037735849,0.0660377358490566,0.9056603773584906,53.2204140461216,27.77263888888889
4hglq,331,12770.226586102719,177.0,202431.9377014947,1.8821752265861027,2.0,2.694864048338369,3.0,0,0.0,0.8489425981873112,0.9123867069486404,3.5472851628063107,0.049166666666666664
4hgog,65,8028897.446153847,3711156.0,8716924.470168976,2.1846153846153844,2.0,14.046153846153846,10.0,3,0.046153846153846156,0.12307692307692308,0.7076923076923077,2230.249290598291,1030.8766666666668
4hgok,40,1481854.65,459384.5,2171810.8174060006,1.75,2.0,8.85,6.5,1,0.025,0.075,0.825,411.62629166666665,127.60680555555555
4hgol,532,3425.0075187969924,182.0,43351.95401578527,1.9229323308270676,2.0,2.7537593984962405,3.0,2,0.0037593984962406013,0.9060150375939849,0.9078947368421053,0.951390977443609,0.050555555555555555
4hgop,20,606048.3,36545.5,1259927.5678448263,3.2,2.0,1.9,1.0,8,0.4,0.25,0.7,168.34675000000001,10.151527777777778
4hgor,414,15836.95652173913,237.5,209684.60255920017,1.9082125603864735,2.0,2.8091787439613527,3.0,1,0.0024154589371980675,0.9033816425120773,0.9082125603864735,4.399154589371981,0.06597222222222222
4hgos,479,22820.574112734863,141.0,351108.59615685383,1.8893528183716075,2.0,2.720250521920668,3.0,3,0.006263048016701462,0.872651356993737,0.9206680584551148,6.339048364648573,0.03916666666666667
4hgpl,30,1458188.3,535073.0,2729981.7570895096,2.466666666666667,3.0,8.566666666666666,5.0,1,0.03333333333333333,0.26666666666666666,0.9333333333333333,405.05230555555556,148.6313888888889
4hgqg,10,310316.0,50491.5,453693.0951170503,2.1,1.5,2.5,1.5,0,0.0,0.0,0.6,86.19888888888889,14.025416666666667
4hgqk,25,2385898.08,488467.0,5411737.558250284,1.8,2.0,5.28,6.0,0,0.0,0.72,0.92,662.7494666666666,135.68527777777777
4hgqr,23,3324115.217391304,2622737.0,3341378.372061065,7.217391304347826,5.0,16.73913043478261,12.0,7,0.30434782608695654,0.13043478260869565,0.8260869565217391,923.3653381642512,728.5380555555555
4hgrl,265,4193.845283018868,178.0,36890.5697526716,1.7433962264150944,2.0,2.5245283018867926,3.0,0,0.0,0.8226415094339623,0.9245283018867925,1.1649570230607966,0.049444444444444444
4hhgi,462,6000.824675324675,159.0,57641.53925172012,1.7705627705627707,2.0,2.6406926406926408,3.0,2,0.004329004329004329,0.8722943722943723,0.8852813852813853,1.666895743145743,0.04416666666666667
4hhgk,29,368927.724137931,75365.0,540314.500288086,1.3793103448275863,1.0,4.310344827586207,4.0,2,0.06896551724137931,0.13793103448275862,0.4827586206896552,102.4799233716475,20.934722222222224
4hhgo,143,196.04895104895104,149.0,182.3462241842262,1.832167832167832,2.0,2.762237762237762,3.0,0,0.0,0.8811188811188811,0.993006993006993,0.05445804195804196,0.04138888888888889
4hhgr,27,727223.0,0.0,1787895.1101068326,0.7407407407407407,0.0,1.962962962962963,0.0,0,0.0,0.1111111111111111,0.2962962962962963,202.0063888888889,0.0
4hho,286,2999854.3567762235,178606.5,9872048.559904039,2.7587412587412588,2.0,5.370629370629371,2.0,9,0.03146853146853147,0.5699300699300699,0.8496503496503497,833.2928768822843,49.61291666666666
4hhoo,337,3791.5905044510387,126.0,30109.12137658469,1.9228486646884273,2.0,2.777448071216617,3.0,0,0.0,0.8991097922848664,0.9198813056379822,1.053219584569733,0.035
4hhop,334,423.30838323353294,152.0,3227.464331285367,1.8053892215568863,2.0,2.592814371257485,3.0,0,0.0,0.8233532934131736,0.8532934131736527,0.11758566200931471,0.042222222222222223
4hlg,346,1749279.3072283238,553627.8230000001,5620393.6145461155,2.4104046242774566,2.0,2.6271676300578033,2.0,3,0.008670520231213872,0.5953757225433526,0.869942196531792,485.9109186745344,153.7855063888889
4hlo,94,2174907.763457447,611160.5595,3133867.417738593,2.765957446808511,3.0,3.1914893617021276,2.0,1,0.010638297872340425,0.4574468085106383,0.39361702127659576,604.1410454048463,169.76682208333332
4hpg,212,3260313.7238301886,876928.0,6353162.169949899,3.3254716981132075,2.0,9.141509433962264,2.0,7,0.0330188679245283,0.7264150943396226,0.9150943396226415,905.6427010639413,243.5911111111111
4hph,89,3523838.0503146066,925090.0,5212653.053429498,2.292134831460674,2.0,7.157303370786517,4.0,2,0.02247191011235955,0.4044943820224719,0.8876404494382022,978.8439028651685,256.96944444444443
4hpp,1547,2359851.1952527473,328147.295,8085963.777684844,2.6961861667744023,3.0,5.741435035552683,3.0,24,0.015513897866839044,0.3865546218487395,0.8791208791208791,655.514220903541,91.15202638888888
4hsg,22,886866.788818182,79287.263,1451975.6701063868,1.6363636363636365,1.0,5.5,3.0,0,0.0,0.09090909090909091,0.8636363636363636,246.35188578282833,22.024239722222223
4igh,140,2896059.674485714,936477.0,6921459.663382956,1.8,1.0,3.335714285714286,2.0,0,0.0,0.6785714285714286,0.9928571428571429,804.4610206904762,260.1325
4ihs,1142,961751.0022276706,265854.5,3334253.6417868724,3.361646234676007,3.0,6.288091068301226,5.0,45,0.03940455341506129,0.7548161120840631,0.9763572679509632,267.15305617435297,73.84847222222223
4ikk,2098,2168206.9994108677,435711.8025,5416146.613803137,3.152049571020019,3.0,8.267874165872259,3.0,95,0.04528122020972355,0.4051477597712107,0.834604385128694,602.2797220585744,121.03105624999999
4ioh,469,1168853.3909594882,346587.0,6278096.635109728,3.5543710021321964,3.0,4.940298507462686,4.0,23,0.04904051172707889,0.7569296375266524,0.9445628997867804,324.68149748874674,96.27416666666667
4ipo,226,3025442.517699115,1022289.0,6082192.490327663,2.8451327433628317,2.0,7.606194690265487,2.0,20,0.08849557522123894,0.6902654867256637,0.9823008849557522,840.4006993608652,283.9691666666667
4isp,25,6635066.56,1203288.0,15555425.834068261,2.88,2.0,3.76,1.0,2,0.08,0.68,1.0,1843.0740444444443,334.24666666666667
