issue_id,total_steps,reopens,backward_indicators,compliance_score,is_compliant
11887.0,2,0,0,1.0,True
11890.0,2,0,0,1.0,True
11904.0,2,0,0,1.0,True
11907.0,2,0,0,1.0,True
11912.0,2,0,0,1.0,True
11917.0,1,0,0,1.0,True
11929.0,2,0,0,1.0,True
11930.0,2,0,0,1.0,True
11934.0,2,0,0,1.0,True
11937.0,1,0,0,1.0,True
11938.0,2,0,0,1.0,True
11940.0,2,0,0,1.0,True
11944.0,2,0,0,1.0,True
11949.0,2,0,0,1.0,True
11951.0,2,0,0,1.0,True
11953.0,3,0,0,1.0,True
11957.0,2,0,0,1.0,True
11961.0,2,0,0,1.0,True
11962.0,2,0,0,1.0,True
11969.0,2,0,0,1.0,True
11970.0,1,0,0,1.0,True
11974.0,1,0,0,1.0,True
11976.0,1,0,0,1.0,True
11979.0,1,0,0,1.0,True
11980.0,2,0,0,1.0,True
11982.0,3,0,0,1.0,True
11983.0,1,0,0,1.0,True
11987.0,2,0,0,1.0,True
11990.0,1,0,0,1.0,True
11993.0,3,0,0,1.0,True
11994.0,3,0,0,1.0,True
11995.0,3,0,0,1.0,True
11996.0,3,0,0,1.0,True
11997.0,3,0,0,1.0,True
11998.0,1,0,0,1.0,True
12001.0,2,0,0,1.0,True
12003.0,1,0,0,1.0,True
12007.0,1,0,0,1.0,True
12011.0,3,0,0,1.0,True
12015.0,4,0,1,0.95,True
12019.0,3,0,1,0.95,True
12021.0,2,0,0,1.0,True
12027.0,2,0,0,1.0,True
12029.0,3,0,0,1.0,True
11364.0,1,0,0,1.0,True
10981.0,4,0,1,0.95,True
10985.0,1,0,0,1.0,True
10990.0,2,0,0,1.0,True
10994.0,3,0,0,1.0,True
11008.0,1,0,0,1.0,True
11018.0,2,0,0,1.0,True
11020.0,4,0,1,0.95,True
11027.0,1,0,0,1.0,True
11028.0,4,0,1,0.95,True
11032.0,1,0,0,1.0,True
11035.0,3,0,0,1.0,True
11040.0,2,0,0,1.0,True
11050.0,4,0,1,0.95,True
11051.0,2,0,0,1.0,True
11056.0,4,0,1,0.95,True
11057.0,1,0,0,1.0,True
11066.0,1,0,0,1.0,True
11076.0,1,0,0,1.0,True
11083.0,4,0,1,0.95,True
11087.0,2,0,0,1.0,True
11097.0,2,0,0,1.0,True
11111.0,2,0,0,1.0,True
11114.0,2,0,0,1.0,True
11119.0,2,0,0,1.0,True
11123.0,1,0,0,1.0,True
11141.0,2,0,0,1.0,True
11143.0,2,0,1,0.95,True
32902000.0,1,0,0,1.0,True
25153.0,1,0,0,1.0,True
11319.0,1,0,0,1.0,True
11307.0,2,0,0,1.0,True
11350.0,2,0,0,1.0,True
24195.0,6,0,1,0.95,True
11356.0,4,0,1,0.95,True
11370.0,2,0,0,1.0,True
11379.0,1,0,0,1.0,True
11384.0,2,0,0,1.0,True
11398.0,2,0,0,1.0,True
11401.0,2,0,0,1.0,True
11408.0,2,0,0,1.0,True
11425.0,2,0,0,1.0,True
11441.0,2,0,0,1.0,True
11446.0,1,0,0,1.0,True
11447.0,2,0,0,1.0,True
11462.0,1,0,0,1.0,True
11465.0,2,0,0,1.0,True
11488.0,1,0,0,1.0,True
11555.0,2,0,0,1.0,True
11557.0,2,0,0,1.0,True
11566.0,8,0,4,0.8,False
11567.0,4,0,1,0.95,True
11609.0,4,0,0,1.0,True
11611.0,6,0,3,0.85,True
11616.0,2,0,0,1.0,True
11622.0,4,0,1,0.95,True
11628.0,4,0,1,0.95,True
11656.0,1,0,0,1.0,True
11678.0,4,0,1,0.95,True
11695.0,2,0,0,1.0,True
11710.0,2,0,0,1.0,True
11736.0,2,0,0,1.0,True
11784.0,2,0,0,1.0,True
11802.0,2,0,0,1.0,True
11805.0,2,0,0,1.0,True
11840.0,2,0,0,1.0,True
11843.0,2,0,0,1.0,True
10995.0,2,0,0,1.0,True
11516.0,2,0,0,1.0,True
11527.0,5,0,2,0.9,True
11531.0,1,0,0,1.0,True
11532.0,2,0,0,1.0,True
11009.0,1,0,0,1.0,True
11025.0,2,0,0,1.0,True
11036.0,3,0,0,1.0,True
11037.0,2,0,0,1.0,True
11045.0,1,0,0,1.0,True
11053.0,1,0,0,1.0,True
11059.0,2,0,0,1.0,True
11063.0,2,0,0,1.0,True
11085.0,5,0,1,0.95,True
11093.0,3,0,0,1.0,True
11098.0,2,0,0,1.0,True
11106.0,3,0,0,1.0,True
11116.0,1,0,0,1.0,True
11132.0,6,0,3,0.85,True
11144.0,2,0,0,1.0,True
11145.0,2,0,0,1.0,True
11168.0,2,0,0,1.0,True
11169.0,1,0,0,1.0,True
11230.0,1,0,0,1.0,True
11246.0,2,0,0,1.0,True
11268.0,2,0,0,1.0,True
11285.0,2,0,0,1.0,True
11290.0,2,0,0,1.0,True
11308.0,2,0,0,1.0,True
11317.0,2,0,0,1.0,True
11318.0,2,0,0,1.0,True
11322.0,1,0,0,1.0,True
11353.0,1,0,0,1.0,True
11358.0,4,0,1,0.95,True
16440000.0,1,0,0,1.0,True
11884.0,2,0,0,1.0,True
11515.0,2,0,0,1.0,True
11535.0,4,0,1,0.95,True
11539.0,8,0,4,0.8,False
11545.0,6,0,3,0.85,True
11546.0,2,0,0,1.0,True
11547.0,2,0,0,1.0,True
10628.0,2,0,0,1.0,True
11549.0,2,0,0,1.0,True
11550.0,3,0,0,1.0,True
11552.0,4,0,1,0.95,True
11553.0,5,0,2,0.9,True
11558.0,2,0,0,1.0,True
11565.0,4,0,1,0.95,True
11569.0,2,0,0,1.0,True
11576.0,2,0,0,1.0,True
11577.0,4,0,1,0.95,True
11579.0,7,0,3,0.85,True
11581.0,1,0,0,1.0,True
11584.0,4,0,1,0.95,True
11585.0,3,0,0,1.0,True
11588.0,2,0,0,1.0,True
11590.0,1,0,0,1.0,True
11592.0,2,0,0,1.0,True
11593.0,4,0,1,0.95,True
11594.0,3,0,0,1.0,True
11595.0,2,0,0,1.0,True
11596.0,2,0,0,1.0,True
11599.0,1,0,0,1.0,True
11603.0,6,0,2,0.9,True
11610.0,2,0,0,1.0,True
11614.0,8,0,4,0.8,False
11694.0,1,0,0,1.0,True
11698.0,4,0,1,0.95,True
11701.0,2,0,0,1.0,True
11703.0,2,0,0,1.0,True
11663.0,2,0,0,1.0,True
11713.0,2,0,0,1.0,True
11717.0,2,0,0,1.0,True
11719.0,8,0,4,0.8,False
11724.0,2,0,0,1.0,True
11729.0,2,0,0,1.0,True
11728.0,1,0,0,1.0,True
11737.0,5,0,2,0.9,True
11738.0,2,0,0,1.0,True
11741.0,2,0,0,1.0,True
11742.0,2,0,0,1.0,True
11746.0,2,0,0,1.0,True
11747.0,2,0,0,1.0,True
11748.0,4,0,1,0.95,True
11749.0,4,0,1,0.95,True
11755.0,2,0,0,1.0,True
11761.0,2,0,0,1.0,True
11763.0,2,0,0,1.0,True
11766.0,1,0,0,1.0,True
11771.0,2,0,0,1.0,True
11773.0,2,0,0,1.0,True
11780.0,2,0,0,1.0,True
11782.0,2,0,0,1.0,True
11783.0,2,0,0,1.0,True
11786.0,2,0,0,1.0,True
11789.0,1,0,0,1.0,True
11791.0,1,0,0,1.0,True
11792.0,2,0,0,1.0,True
11803.0,2,0,0,1.0,True
11807.0,6,0,2,0.9,True
11809.0,2,0,0,1.0,True
11812.0,2,0,0,1.0,True
11815.0,1,0,0,1.0,True
11821.0,2,0,0,1.0,True
11750.0,2,0,0,1.0,True
11823.0,1,0,0,1.0,True
11831.0,2,0,0,1.0,True
27721000.0,1,0,0,1.0,True
11002.0,1,0,0,1.0,True
11853.0,2,0,0,1.0,True
11420.0,2,0,0,1.0,True
11011.0,2,0,0,1.0,True
11023.0,7,0,4,0.8,False
11033.0,1,0,0,1.0,True
11034.0,1,0,0,1.0,True
11044.0,1,0,0,1.0,True
11047.0,2,0,0,1.0,True
11055.0,6,0,3,0.85,True
11062.0,1,0,0,1.0,True
11070.0,2,0,0,1.0,True
10616.0,3,0,0,1.0,True
11071.0,3,0,0,1.0,True
