employee,ticket_count,median_time,avg_steps,avg_comments,reopen_rate,first_touch_rate,success_rate,median_time_hours,quality_reopen,quality_success,quality_score,efficiency_score,productivity_score,comm_optimal,communication_score,o_score_raw,o_score,o_score_int
-.3.jn2,92,312.192,1.0434782608695652,0.717391304347826,0.0,0.021739130434782608,0.8913043478260869,0.08672,1.0,0.8913043478260869,0.9565217391304348,0.8614718614718615,0.6337662337662338,0.13586956521739135,0.07880434782608697,0.6926646903820817,3.5,4
0ny0x93ygh,10,7986606.5,3.5,11.3,0.1,0.6,0.5,2218.5018055555556,0.8,0.5,0.6799999999999999,0.02164502164502169,0.06363636363636363,0.0,0.3,0.3161385281385281,1.6,2
0ny0x93ygi,18,341180.38049999997,2.8333333333333335,5.444444444444445,0.05555555555555555,0.6111111111111112,0.9444444444444444,94.77232791666665,0.8888888888888888,0.9444444444444444,0.9111111111111111,0.5887445887445888,0.2181818181818182,0.9688552188552189,0.789983164983165,0.6677080327080328,3.3,4
0ny0x93ygr,27,1603897.275,2.962962962962963,10.481481481481481,0.14814814814814814,0.4074074074074074,0.9629629629629629,445.5270208333333,0.7037037037037037,0.9629629629629629,0.8074074074074074,0.11688311688311692,0.23939393939393938,0.014870931537598442,0.2111391694725029,0.4019199935866602,2.0,3
0zxu.ad,13,5258.0,1.0,1.4615384615384615,0.0,0.0,0.9230769230769231,1.4605555555555556,1.0,0.9230769230769231,0.9692307692307692,0.7835497835497836,0.4324675324675325,0.27680652680652684,0.13840326340326342,0.6492923742923743,3.2,4
1.ca.cz38j18x3czvj.ad,37,382.535,1.027027027027027,0.5675675675675675,0.0,0.0,0.8918918918918919,0.10625972222222223,1.0,0.8918918918918919,0.9567567567567568,0.8354978354978355,0.5406926406926407,0.10749385749385754,0.05374692874692877,0.6626272376272376,3.3,4
1n81u .ad h,34,364.08,1.1176470588235294,0.47058823529411764,0.0,0.0,0.9411764705882353,0.10113333333333333,1.0,0.9411764705882353,0.9764705882352941,0.8441558441558441,0.5264069264069264,0.089126559714795,0.0445632798573975,0.6669977081741787,3.3,4
1n81u .ad i,48,524.836,1.1875,0.5625,0.0,0.041666666666666664,0.8541666666666666,0.1457877777777778,1.0,0.8541666666666666,0.9416666666666667,0.8268398268398268,0.5636363636363637,0.10653409090909094,0.0741003787878788,0.6638406385281385,3.3,4
1n81u .ad o,17,605.555,1.1176470588235294,1.0,0.0,0.11764705882352941,0.9411764705882353,0.16820972222222222,1.0,0.9411764705882353,0.9764705882352941,0.8181818181818181,0.44458874458874464,0.18939393939393934,0.1535204991087344,0.6659320091673033,3.3,4
1n81u .ad p,43,315.257,1.1627906976744187,1.0232558139534884,0.0,0.06976744186046512,0.9767441860465116,0.08757138888888889,1.0,0.9767441860465116,0.9906976744186047,0.8571428571428572,0.541991341991342,0.1937984496124031,0.13178294573643412,0.695784757877781,3.5,4
1n81u.adh,45,1563.0,1.1555555555555554,1.1555555555555554,0.0,0.0,0.9555555555555556,0.43416666666666665,1.0,0.9555555555555556,0.9822222222222222,0.8138528138528138,0.5636363636363636,0.21885521885521886,0.10942760942760943,0.6818537758537757,3.4,4
1n81u.adp,32,3611.5,1.375,3.28125,0.0,0.0,0.875,1.0031944444444445,1.0,0.875,0.95,0.7965367965367965,0.49783549783549785,0.6214488636363635,0.31072443181818177,0.6933461850649351,3.5,4
3cxhok,149,860091.0,3.0067114093959733,7.429530201342282,0.0738255033557047,0.7181208053691275,0.9395973154362416,238.91416666666666,0.8523489932885906,0.9395973154362416,0.887248322147651,0.2597402597402597,0.45324675324675323,0.5928920073215376,0.6555064063453325,0.5972226096051599,3.0,3
3cxigp,197,301.124,2.2893401015228427,3.49746192893401,0.005076142131979695,0.9746192893401016,0.883248730964467,0.08364555555555556,0.9898477157360406,0.883248730964467,0.9472081218274112,0.8701298701298701,0.6181818181818182,0.6623980926011382,0.8185086909706198,0.8363934120025491,4.2,5
3cxigq,317,588.019,2.3785488958990535,6.280757097791798,0.022082018927444796,0.6403785488958991,0.9463722397476341,0.16333861111111111,0.9558359621451105,0.9463722397476341,0.9520504731861199,0.8225108225108225,0.6528138528138528,0.8104626708727656,0.7254206098843323,0.8144922637824846,4.1,5
3cxigs,211,264.004,2.023696682464455,2.938388625592417,0.0,0.990521327014218,0.933649289099526,0.07333444444444445,1.0,0.933649289099526,0.9734597156398104,0.9004329004329005,0.6653679653679654,0.5565129972712911,0.7735171621427546,0.8535961510843028,4.3,5
3cxiog,102,17869.771,2.3823529411764706,3.343137254901961,0.00980392156862745,0.23529411764705882,0.9117647058823529,4.963825277777778,0.9803921568627451,0.9117647058823529,0.9529411764705882,0.7619047619047619,0.48874458874458876,0.6331699346405228,0.43423202614379086,0.7086009252185722,3.5,4
3cxogo,404,247.5,2.0024752475247523,3.032178217821782,0.009900990099009901,0.9108910891089109,0.943069306930693,0.06875,0.9801980198019802,0.943069306930693,0.9653465346534653,0.9134199134199135,0.7523809523809524,0.5742761776177617,0.7425836333633363,0.8652191826325488,4.3,5
4ggk,211,1721794.0,2.241706161137441,4.3649289099526065,0.004739336492890996,0.8578199052132701,0.7298578199052133,478.2761111111111,0.990521327014218,0.7298578199052133,0.8862559241706162,0.10389610389610393,0.6341991341991342,0.8266910814304178,0.842255493321844,0.6314545249379373,3.2,4
4ggo,133,274764.389,2.1503759398496243,3.398496240601504,0.015037593984962405,0.45112781954887216,0.6240601503759399,76.3234413888889,0.9699248120300752,0.6240601503759399,0.8315789473684211,0.6103896103896104,0.5774891774891775,0.643654591023012,0.5473912052859421,0.6686261107313739,3.3,4
4ggr,110,3633.0315,1.6,2.3,0.00909090909090909,0.07272727272727272,0.9,1.0091754166666667,0.9818181818181818,0.9,0.9490909090909092,0.7922077922077921,0.6367965367965368,0.43560606060606055,0.25416666666666665,0.7084264069264068,3.5,4
4gis,98,599207.0945,2.663265306122449,3.836734693877551,0.08163265306122448,0.5816326530612245,0.9591836734693877,166.44641513888888,0.8367346938775511,0.9591836734693877,0.8857142857142857,0.4199134199134199,0.4294372294372294,0.7266542980828694,0.654143475572047,0.6316944959802102,3.2,4
