feature,PC1_loading,PC2_loading,importance
resolution_rate,0.9940689728994611,0.05045334748111599,0.5575309658251418
median_resolution_days,0.025712733172913192,0.8255165010356107,0.209688654231153
avg_resolution_days,0.03663756727385023,0.44251180230614606,0.12494527627421365
std_resolution_days,0.03640684562823446,0.2253890851695078,0.07337917365167819
avg_first_response_days,0.02112921051576957,0.19561405539982912,0.05794017337266087
pct_high_priority,0.046097570137833895,0.03956360316514696,0.03467305031451439
pct_fast_resolved,0.009074905862193948,0.11545386975418517,0.03233327961743438
tickets_per_month,0.018161961325433178,0.08371428263428193,0.029800993602953126
total_tickets,0.026928611509462737,0.05688356024645897,0.028255838817303466
avg_priority,0.032425984048377786,0.04025111911289075,0.02733251519714624
pct_sole_resolver,0.028872357248043396,0.03553934248156401,0.024265880346639013
n_distinct_projects,0.0204180593439207,0.04736871232089264,0.022428429538586495
pct_reopened,0.033272443731065526,0.0011810553220589213,0.018540823664756605
n_distinct_categories,0.0200382166489524,0.022077111981255806,0.016228017729408992
active_months,0.019340721470305924,0.016938899045615498,0.014627893281300893
avg_processing_steps,0.019759288142309223,0.001458869212621104,0.011190176159680723
avg_comments,0.014633493392395306,0.007185866408937541,0.00973377839120775
