issue_assignee,median_resolution_days,avg_resolution_days,std_resolution_days,pct_fast_resolved,total_tickets,tickets_per_month,active_months,avg_priority,pct_high_priority,n_distinct_projects,n_distinct_categories,pct_reopened,resolution_rate,avg_comments,pct_sole_resolver,avg_first_response_days,avg_processing_steps,cluster,cluster_dbscan,cluster_agg,cluster_label
-.3.jn2,0.0036133333333333,0.0861220913848631,0.6207011014073618,1.0,92.0,0.0,0.0,2.010869565217391,0.0108695652173913,17.0,3.0,0.0,1.0,0.717391304347826,0.0,7.021773440945774,1.0434782608695652,0,0,0,High Performer 🟢
-zvz7e,0.0047195717592592,16.135264979745372,45.33254782005783,0.875,8.0,0.0,0.0,2.125,0.125,5.0,3.0,0.125,1.0,1.375,0.0,7.021773440945774,2.125,0,-1,0,High Performer 🟢
.wy.z0yhg,53.04292824074074,44.14523148148148,19.38289012128847,0.0,9.0,4.5,2.0,2.333333333333333,0.3333333333333333,1.0,2.0,1.0,0.0,1.7777777777777777,0.0,0.7800244341563786,4.555555555555555,2,-1,3,Specialist ⚫
0ny0x93ygh,92.43757523148147,107.03313425925928,99.58661713729792,0.2,10.0,1.4285714285714286,7.0,2.0,0.0,6.0,2.0,0.1,1.0,11.3,0.0,0.392255787037037,3.5,0,-1,0,High Performer 🟢
0ny0x93ygi,3.948846996527777,16.821338392489714,40.50612035714905,0.7777777777777778,18.0,2.25,8.0,2.0,0.0,10.0,3.0,0.0555555555555555,1.0,5.444444444444445,0.0,0.6037297453703704,2.833333333333333,0,-1,0,High Performer 🟢
0ny0x93ygr,18.563625868055556,46.77867000042868,72.12822704820483,0.3703703703703703,27.0,3.0,9.0,2.037037037037037,0.037037037037037,11.0,5.0,0.1481481481481481,1.0,10.48148148148148,0.037037037037037,58.568131751543206,2.962962962962963,0,-1,0,High Performer 🟢
0ny0x93yhg,0.0008983333333333,3.3956591805555547,6.510358598604976,0.8,5.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,8.8,0.4,7.021773440945774,2.2,0,-1,0,High Performer 🟢
0ny0x93yho,0.0293070717592592,27.14969701774692,43.46905663207426,0.6666666666666666,9.0,0.0,0.0,2.0,0.0,7.0,2.0,0.0,1.0,7.555555555555555,0.1111111111111111,7.021773440945774,2.111111111111111,0,-1,0,High Performer 🟢
0ny0x93yhr,14.095311886574075,32.6007127662037,49.89404444969045,0.4,5.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,21.2,0.1999999999999999,7.021773440945774,3.0,0,-1,0,High Performer 🟢
0zxu.ad,0.0608564814814814,5.301073717948718,11.661975092042844,0.8461538461538461,13.0,1.181818181818182,11.0,3.4615384615384617,0.6923076923076923,10.0,2.0,0.0,1.0,1.4615384615384617,0.0,0.0074118589743589,1.0,0,-1,0,High Performer 🟢
1.ca.cz38azew8x3djd4aa.c3,0.0071900578703703,0.1597942373971193,0.3039432587677451,1.0,9.0,3.0,3.0,2.111111111111111,0.1111111111111111,3.0,2.0,0.0,1.0,1.4444444444444444,0.0,0.0008641975308641,1.0,0,0,0,High Performer 🟢
1.ca.cz38j18x3czvj.ad,0.0044274884259259,0.0721418706206206,0.2749674454035186,1.0,37.0,4.625,8.0,2.2972972972972974,0.1621621621621621,9.0,4.0,0.0,0.972972972972973,0.5675675675675675,0.0270270270270269,0.0014853395061728,1.027027027027027,0,-1,0,High Performer 🟢
1n81u .ad h,0.0042138888888888,0.0121431900190631,0.0250263878075353,1.0,34.0,0.0,0.0,2.0588235294117645,0.0588235294117647,9.0,3.0,0.0,1.0,0.4705882352941176,0.0,7.021773440945774,1.1176470588235294,0,0,0,High Performer 🟢
1n81u .ad i,0.0060744907407407,4.780261769868828,32.81012804726587,0.9791666666666666,48.0,0.0,0.0,2.0,0.0208333333333333,10.0,5.0,0.0,1.0,0.5625,0.0,7.021773440945774,1.1875,0,0,0,High Performer 🟢
1n81u .ad o,0.0070087384259259,0.0697327301198257,0.1598868256048655,1.0,17.0,0.0,0.0,2.0588235294117645,0.0588235294117647,6.0,3.0,0.0,1.0,1.0,0.0,7.021773440945774,1.1176470588235294,0,0,0,High Performer 🟢
1n81u .ad p,0.0036488078703703,0.0235525950150732,0.0864021936973991,1.0,43.0,0.0,0.0,2.0,0.0,17.0,5.0,0.0,1.0,1.0232558139534884,0.0232558139534884,7.021773440945774,1.162790697674419,0,0,0,High Performer 🟢
1n81u.adh,0.0180902777777777,0.6585941358024692,1.4828343808425597,1.0,45.0,2.8125,16.0,3.2444444444444445,0.7555555555555555,9.0,3.0,0.0,0.9777777777777776,1.1555555555555554,0.0,0.2117013888888889,1.1555555555555554,0,-1,0,High Performer 🟢
1n81u.ado,0.2571180555555555,0.4879315476190476,0.5809024513835044,1.0,7.0,1.4,5.0,2.857142857142857,0.7142857142857143,2.0,2.0,0.0,1.0,2.142857142857143,0.0,3.479551917989418,1.1428571428571428,0,-1,0,High Performer 🟢
1n81u.adp,0.0417997685185185,4.224136646412037,9.933810654572673,0.875,32.0,1.6842105263157894,19.0,2.90625,0.59375,17.0,4.0,0.0,0.90625,3.28125,0.0,0.1426493778935185,1.375,0,-1,1,High Performer 🟢
1n81uazew8x3djd4aa.c3,0.0193197453703703,0.1163174768518518,0.2692824370663574,1.0,7.0,0.0,0.0,1.8571428571428568,0.0,5.0,3.0,0.0,1.0,0.8571428571428571,0.0,7.021773440945774,1.0,0,0,0,High Performer 🟢
3cxhho,49.27488425925926,32.22254398148148,29.40873754989657,0.4,5.0,2.5,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.4,0.0,3.6099050925925926,2.4,0,-1,0,High Performer 🟢
3cxhog,2.180902777777778,10.720537367724868,15.509651184616386,0.5714285714285714,7.0,1.75,4.0,2.0,0.0,1.0,2.0,0.0,1.0,0.1428571428571428,0.1428571428571429,30.32832175925926,1.4285714285714286,0,-1,0,High Performer 🟢
3cxhok,9.954756944444444,72.33736994049839,254.4091220672213,0.5234899328859061,149.0,11.461538461538462,13.0,2.0,0.0,27.0,6.0,0.0738255033557047,1.0,7.429530201342282,0.0268456375838925,22.782973499361432,3.0067114093959733,0,-1,0,High Performer 🟢
3cxigp,0.0034852314814814,2.345250711364918,13.705241844354513,0.9543147208121828,197.0,0.0,0.0,2.071065989847716,0.0558375634517766,57.0,5.0,0.0050761421319796,1.0,3.49746192893401,0.0,7.021773440945774,2.2893401015228427,0,1,0,High Performer 🟢
3cxigq,0.0068057754629629,9.353532382068584,34.785912432024205,0.8454258675078864,317.0,0.0,0.0,2.0378548895899056,0.0378548895899053,62.0,6.0,0.0220820189274447,1.0,6.280757097791798,0.0063091482649841,7.021773440945774,2.378548895899053,0,1,0,High Performer 🟢
3cxigs,0.0030556018518518,0.0041847289691943,0.0051386966314716,1.0,211.0,0.0,0.0,2.037914691943128,0.0473933649289099,61.0,5.0,0.0,1.0,2.938388625592417,0.004739336492891,7.021773440945774,2.023696682464455,0,1,0,High Performer 🟢
