cluster,cluster_label,median_resolution_days,avg_resolution_days,std_resolution_days,pct_fast_resolved,total_tickets,tickets_per_month,active_months,avg_priority,pct_high_priority,n_distinct_projects,n_distinct_categories,pct_reopened,resolution_rate,avg_comments,pct_sole_resolver,avg_first_response_days,avg_processing_steps
0,High Performer 🟢,9.2031,28.1299,54.1529,0.6364,216.0733,15.1796,14.1502,2.2238,0.1661,23.337,4.7326,0.0342,0.987,5.2988,0.0336,14.635,2.616
1,Solid Performer 🟡,12.4846,21.9139,27.1332,0.6603,22.0625,2.915,6.8125,2.6067,0.4687,5.375,2.5,0.0609,0.7401,5.6858,0.0221,3.71,2.1675
2,Specialist ⚫,14.4658,14.9464,15.2148,0.6747,20.1429,7.6364,3.4286,2.4022,0.4336,2.2857,2.2857,0.1747,0.1669,1.2517,0.0986,20.7047,1.6723
3,Low Performer 🔴,454.9486,490.651,317.6021,0.0867,15.5,2.4341,6.1667,2.0233,0.0078,3.0,2.6667,0.0,1.0,1.8968,0.0039,123.6463,1.9457
