employee,overall_score,ticket_count,risk_level,training_areas,flags,recommendations
4pgp,4.5,6,GREEN,-,-,Gute Arbeit! Weiter so.
4rqs,4.5,1,GREEN,-,-,Gute Arbeit! Weiter so.
4qsk,4.6,5,GREEN,-,-,Gute Arbeit! Weiter so.
4qkr,4.62,4,GREEN,-,-,Gute Arbeit! Weiter so.
4kgp,4.67,3,GREEN,-,-,Gute Arbeit! Weiter so.
4kqo,4.67,6,GREEN,-,-,Gute Arbeit! Weiter so.
4oqq,4.67,3,GREEN,-,-,Gute Arbeit! Weiter so.
4qiq,4.67,3,GREEN,-,-,Gute Arbeit! Weiter so.
4sih,4.67,3,GREEN,-,-,Gute Arbeit! Weiter so.
4hghq,4.82,22,GREEN,-,-,Gute Arbeit! Weiter so.
4lrp,4.88,2,GREEN,-,-,Gute Arbeit! Weiter so.
4khg,4.91,17,GREEN,-,-,Gute Arbeit! Weiter so.
4hglq,4.93,11,GREEN,-,-,Gute Arbeit! Weiter so.
4hgor,4.95,22,GREEN,-,-,Gute Arbeit! Weiter so.
1n81u.adh,5.0,1,GREEN,-,-,Gute Arbeit! Weiter so.
3cxogo,5.0,5,GREEN,-,-,Gute Arbeit! Weiter so.
4ggo,5.0,1,GREEN,-,-,Gute Arbeit! Weiter so.
4hghk,5.0,44,GREEN,-,-,Gute Arbeit! Weiter so.
4hghs,5.0,22,GREEN,-,-,Gute Arbeit! Weiter so.
4hgol,5.0,16,GREEN,-,-,Gute Arbeit! Weiter so.
4hgos,5.0,30,GREEN,-,-,Gute Arbeit! Weiter so.
4hgpl,5.0,6,GREEN,-,-,Gute Arbeit! Weiter so.
4hgqg,5.0,1,GREEN,-,-,Gute Arbeit! Weiter so.
4hhgi,5.0,13,GREEN,-,-,Gute Arbeit! Weiter so.
4hhgo,5.0,10,GREEN,-,-,Gute Arbeit! Weiter so.
4kgi,5.0,8,GREEN,-,-,Gute Arbeit! Weiter so.
4kgq,5.0,3,GREEN,-,-,Gute Arbeit! Weiter so.
4klq,5.0,1,GREEN,-,-,Gute Arbeit! Weiter so.
4kqk,5.0,1,GREEN,-,-,Gute Arbeit! Weiter so.
4lqi,5.0,1,GREEN,-,-,Gute Arbeit! Weiter so.
4lrs,5.0,1,GREEN,-,-,Gute Arbeit! Weiter so.
4psk,5.0,2,GREEN,-,-,Gute Arbeit! Weiter so.
4qil,5.0,1,GREEN,-,-,Gute Arbeit! Weiter so.
4qqr,5.0,1,GREEN,-,-,Gute Arbeit! Weiter so.
4z8d4aa.c3,5.0,2,GREEN,-,-,Gute Arbeit! Weiter so.
t.d2j4d8c,5.0,1,GREEN,-,-,Gute Arbeit! Weiter so.
t.yn039ygo,5.0,2,GREEN,-,-,Gute Arbeit! Weiter so.
