iter	Passed	Remaining
0	14	21378
1	29	22094
2	43	21281
3	58	21451
4	74	22077
5	91	22538
6	107	22486
7	122	22482
8	136	22204
9	149	21904
10	163	21849
11	179	21871
12	193	21767
13	210	22002
14	230	22444
15	244	22352
16	261	22465
17	275	22382
18	290	22286
19	305	22286
20	321	22282
21	336	22263
22	349	22136
23	363	22042
24	378	21996
25	393	21974
26	408	21971
27	423	21956
28	438	21890
29	451	21791
30	468	21882
31	486	21972
32	500	21904
33	515	21899
34	530	21862
35	546	21894
36	560	21843
37	576	21840
38	593	21884
39	608	21870
40	621	21795
41	635	21712
42	650	21714
43	666	21737
44	681	21705
45	695	21638
46	709	21591
47	725	21614
48	741	21623
49	756	21608
50	772	21603
51	788	21623
52	808	21747
53	824	21748
54	840	21736
55	855	21732
56	870	21701
57	885	21683
58	902	21697
59	920	21743
60	934	21711
61	948	21662
62	962	21607
63	977	21589
64	991	21545
65	1006	21526
66	1020	21484
67	1034	21443
68	1048	21417
69	1064	21411
70	1077	21359
71	1091	21315
72	1107	21313
73	1124	21330
74	1140	21331
75	1155	21311
76	1171	21320
77	1186	21294
78	1201	21277
79	1215	21239
80	1228	21192
81	1244	21193
82	1259	21168
83	1273	21130
84	1288	21114
85	1304	21106
86	1318	21085
87	1334	21071
88	1348	21040
89	1362	21006
90	1381	21051
91	1396	21032
92	1411	21022
93	1426	21001
94	1441	20990
95	1457	20977
96	1472	20961
97	1488	20965
98	1507	20992
99	1522	20973
100	1538	20969
101	1553	20959
102	1569	20957
103	1583	20921
104	1602	20951
105	1617	20936
106	1631	20904
107	1645	20876
108	1662	20885
109	1678	20876
110	1692	20845
111	1708	20836
112	1724	20836
113	1739	20810
114	1753	20783
115	1768	20761
116	1781	20728
117	1800	20748
118	1817	20752
119	1832	20735
120	1848	20726
121	1863	20709
122	1876	20671
123	1891	20658
124	1906	20632
125	1920	20604
126	1934	20573
127	1950	20567
128	1964	20538
129	1979	20529
130	1995	20518
131	2010	20500
132	2025	20479
133	2039	20460
134	2054	20434
135	2069	20417
136	2083	20398
137	2099	20382
138	2117	20399
139	2132	20380
140	2148	20369
141	2167	20393
142	2181	20365
143	2198	20363
144	2213	20351
145	2228	20335
146	2244	20323
147	2259	20304
148	2273	20281
149	2288	20260
150	2302	20233
151	2316	20205
152	2333	20208
153	2348	20189
154	2364	20186
155	2379	20166
156	2394	20149
157	2408	20120
158	2423	20104
159	2437	20079
160	2450	20047
161	2466	20039
162	2480	20012
163	2494	19988
164	2509	19970
165	2525	19958
166	2540	19942
167	2554	19920
168	2568	19895
169	2584	19882
170	2600	19872
171	2615	19859
172	2632	19857
173	2647	19840
174	2661	19818
175	2674	19786
176	2689	19765
177	2704	19750
178	2718	19730
179	2735	19728
180	2751	19717
181	2766	19699
182	2780	19678
183	2795	19658
184	2811	19652
185	2826	19635
186	2840	19613
187	2857	19607
188	2878	19633
189	2893	19613
190	2906	19585
191	2921	19568
192	2937	19556
193	2951	19532
194	2966	19517
195	2981	19500
196	2997	19490
197	3011	19470
198	3026	19451
199	3041	19436
200	3056	19420
201	3072	19406
202	3087	19392
203	3102	19375
204	3117	19361
205	3134	19353
206	3147	19327
207	3161	19306
208	3175	19282
209	3191	19271
210	3206	19252
211	3220	19231
212	3235	19216
213	3250	19198
214	3265	19180
215	3281	19169
216	3294	19146
217	3309	19130
218	3325	19115
219	3338	19089
220	3353	19072
221	3366	19046
222	3384	19045
223	3398	19026
224	3413	19010
225	3428	18995
226	3443	18977
227	3457	18956
228	3471	18935
229	3487	18923
230	3502	18907
231	3518	18895
232	3531	18870
233	3545	18849
234	3561	18840
235	3575	18819
236	3590	18801
237	3607	18796
238	3623	18783
239	3640	18780
240	3657	18771
241	3670	18748
242	3684	18728
243	3699	18709
244	3716	18701
245	3730	18682
246	3744	18661
247	3762	18659
248	3776	18641
249	3793	18634
250	3812	18637
251	3832	18644
252	3848	18635
253	3865	18627
254	3879	18604
255	3898	18607
256	3913	18593
257	3929	18580
258	3945	18567
259	3960	18552
260	3975	18535
261	3990	18518
262	4006	18508
263	4022	18495
264	4036	18478
265	4051	18462
266	4069	18458
267	4088	18460
268	4106	18455
269	4122	18443
270	4138	18433
271	4155	18424
272	4170	18408
273	4185	18390
274	4201	18381
275	4218	18369
276	4233	18355
277	4248	18338
278	4265	18328
279	4284	18330
280	4301	18322
281	4318	18313
282	4333	18298
283	4347	18279
284	4363	18263
285	4378	18248
286	4394	18235
287	4411	18227
288	4426	18210
289	4441	18196
290	4456	18178
291	4471	18160
292	4486	18146
293	4502	18134
294	4518	18120
295	4535	18112
296	4550	18095
297	4566	18080
298	4581	18064
299	4596	18050
300	4612	18035
301	4626	18017
302	4642	18004
303	4660	17998
304	4676	17986
305	4691	17970
306	4708	17961
307	4723	17941
308	4738	17926
309	4754	17913
310	4770	17900
311	4785	17886
312	4800	17869
313	4815	17852
314	4831	17838
315	4851	17838
316	4866	17823
317	4882	17809
318	4899	17801
319	4918	17797
320	4932	17780
321	4948	17765
322	4964	17750
323	4978	17733
324	4993	17715
325	5009	17703
326	5025	17690
327	5042	17678
328	5057	17662
329	5072	17644
330	5090	17639
