iter	RMSE
0	2.478743319
1	2.380499762
2	2.291250312
3	2.204567276
4	2.126098408
5	2.050030873
6	1.978286127
7	1.91306662
8	1.850209936
9	1.793785084
10	1.730952422
11	1.67410275
12	1.62296745
13	1.57808115
14	1.536257309
15	1.493423982
16	1.455468701
17	1.420175165
18	1.385061729
19	1.352143824
20	1.318192807
21	1.287850006
22	1.258394366
23	1.232716713
24	1.202242076
25	1.176699518
26	1.154202503
27	1.127381891
28	1.101772346
29	1.085042232
30	1.063820827
31	1.048467756
32	1.031741954
33	1.016177885
34	0.9978978131
35	0.9819537196
36	0.9682332635
37	0.9560173393
38	0.9426584632
39	0.9315643825
40	0.9197204288
41	0.909772987
42	0.8967766291
43	0.8832924353
44	0.8749048013
45	0.8664694041
46	0.8591882385
47	0.8496190724
48	0.8406365036
49	0.8320275857
50	0.8251733495
51	0.8188157924
52	0.8075293605
53	0.8003249564
54	0.7879149927
55	0.7823093824
56	0.7732067596
57	0.7684170532
58	0.7592394818
59	0.7543883344
60	0.7485424312
61	0.7424561233
62	0.7371413063
63	0.7328714365
64	0.7287031269
65	0.7222175943
66	0.7156323464
67	0.7099490863
68	0.7062736781
69	0.7017897134
70	0.6973780799
71	0.6943496298
72	0.6904763275
73	0.6874717978
74	0.6829777607
75	0.6795274194
76	0.6740702622
77	0.6696028782
78	0.6665294903
79	0.6634676827
80	0.6595445396
81	0.6562454796
82	0.6535170682
83	0.6499562225
84	0.6455056614
85	0.6379494927
86	0.6350116236
87	0.6324585768
88	0.63048402
89	0.6264761951
90	0.6245548233
91	0.6215900003
92	0.6195744954
93	0.6162395832
94	0.614136936
95	0.6090081425
96	0.6072936089
97	0.6049770123
98	0.6011600852
99	0.5975079949
100	0.5948094339
101	0.5930185998
102	0.5916708397
103	0.5886645462
104	0.5868237292
105	0.5842724821
106	0.5821709046
107	0.5794786906
108	0.5780865836
109	0.5765751552
110	0.5730932649
111	0.5710107122
112	0.5699091952
113	0.5680989786
114	0.5656506702
115	0.5639391931
116	0.5617925343
117	0.559424182
118	0.5545184293
119	0.5530049245
120	0.5500704286
121	0.548315487
122	0.5468834299
123	0.5433751815
124	0.5422930147
125	0.5404479271
126	0.5375288323
127	0.534414869
128	0.5324876947
129	0.5298571239
130	0.5275372808
131	0.5257741468
132	0.5234112473
133	0.5223107161
134	0.521056872
135	0.5199768112
136	0.518985068
137	0.5166537964
138	0.5159006748
139	0.5140821711
140	0.5128771474
141	0.5108321539
142	0.5094253978
143	0.5071052793
144	0.5041354551
145	0.5029200588
146	0.501582466
147	0.4998174748
148	0.4980519431
149	0.4960829379
150	0.4948531466
151	0.4936428303
152	0.4918322101
153	0.4909182229
154	0.4890146843
155	0.487599851
156	0.485985695
157	0.4839619132
158	0.4831692367
159	0.4817307993
160	0.4799942096
161	0.4790690398
162	0.4781337808
163	0.4770809775
164	0.4759493486
165	0.4745415612
166	0.4731582637
167	0.4717090367
168	0.469568025
169	0.4688308983
170	0.4677484989
171	0.4670066932
172	0.4662578549
173	0.4652961067
174	0.4627459898
175	0.4615350948
176	0.4598846296
177	0.4586465165
178	0.4561985521
179	0.4550462659
180	0.4531398987
181	0.450508112
182	0.4490224741
183	0.4478639643
184	0.4458559905
185	0.4443268073
186	0.4433420974
187	0.4427637162
188	0.4417587206
189	0.4407000668
190	0.4395272833
191	0.4382306479
192	0.4375975087
193	0.4361155275
194	0.4345943604
195	0.4328222089
196	0.4322552001
197	0.4305329847
198	0.4286709448
199	0.4275497759
200	0.4263617548
201	0.4245079673
202	0.4236721846
203	0.4229725622
204	0.4221520568
205	0.420478515
206	0.4197949741
207	0.4189526439
208	0.4181510296
209	0.4170718414
210	0.4157855227
211	0.4150654265
212	0.4139124195
213	0.4124824475
214	0.4118023517
215	0.41033766
216	0.4086261517
